Location,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
"Balanagar , CITD office ",126,119,136,80,86,67,74,94,88,98,135,157
"Uppal, Modern food Industry, IDA",126,115,101,52,71,59,70,79,90,91,124,138
"Jubilee Hills, Police station",104,103,84,67,71,57,71,76,83,83,84,105
"Paradise, HMWS &SB Pump house ",114,96,91,51,62,64,69,89,90,91,90,111
"Charminar, TSRTC bus station ",125,117,110,81,65,60,68,76,75,99,96,119
"Jeedimetla, Industrial Association building",148,129,117,78,95,68,69,86,86,102,121,145
"Abids, Police station ",90,97,102,57,63,54,51,49,49,60,94,103
"KBRN Park, DFO office ",55,58,58,56,58,40,22,40,41,47,64,68
"Langar House, Police Station ",95,96,96,55,61,49,47,75,59,68,82,99
"Madhapur, Shilpa Kalavedika ",89,92,106,73,89,43,38,37,56,75,78,107
"MGBS, Bus stand ",92,86,99,,,,,,63,65,69,96
"Chikkadapally, Lepakshi Emporium ",79,74,113,40,52,42,41,61,62,74,80,83
"Kukatpally, JNTU",127,104,85,56,64,58,56,76,80,87,92,109
"Nacharam, Police station ",121,91,97,,50,48,50,60,59,69,97,97
"Rajendranagar, NG Ranga Agricultural University ",51,47,52,36,44,31,28,41,39,61,61,73
"Sainikpuri,  MRO office ",73,68,85,,74,45,42,48,46,45,63,79
"Buddha Purnima Project office, Tank Bund",101,77,82,41,46,37,33,55,51,61,75,94
"Shameerpet, MRO office",82,53,65,,,,,,,,,
HCU,91,89,73,60,73,46,40,33,52,93,109,141
Sanathnagar,104,95,66,56,63,34,30,25,37,103,126,192
Zoopark,150,131,94,72,87,43,38,43,58,136,172,192
Pashamylaram,115,107,84,68,85,59,50,47,59,124,155,200
Bollaram,111,98,82,57,83,62,41,40,59,120,128,188
ICRISAT,100,97,78,58,75,35,28,25,36,103,154,179
