Location,01/21,02/21,03/21,04/21,05/21,06/21,07/21,08/21,09/21,10/21,11/21,12/21
R C Puram,96,93,91,93,56,60,67,64,64,83,91,83
Gaddapotharam,91,98,94,98,61,63,68,72,77,86,90,84
Sangareddy,69,73,78,77,45,53,56,58,59,75,74,72
Nalgonda,65,61,61,62,46,52,58,52,55,74,79,66
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",60,59,59,61,49,54,54,46,48,65,58,59
Choutuppal,90,91,91,95,73,78,79,68,81,87,82,82
Nizamabad,69,68,66,69,41,,54,45,43,59,66,57
Adilabad,,62,73,74,67,,,,,,,
Bollaram,102,93,103,107,81,85,83,82,85,92,96,90
PETL,97,97,98,98,79,81,85,76,81,84,89,82
"Kuda, warangal",78,85,57,58,43,44,86,40,64,49,58,55
"Mee-Seva, Warangal",81,88,75,71,51,81,57,60,55,64,65,69
Godavarikhani,111,113,99,136,59,77,104,64,76,83,106,95
Karimnagar,110,110,69,73,68,72,57,64,66,68,73,82
Kothagudem,110,104,99,82,62,58,80,87,83,92,86,90
Khammam,100,84,68,54,,88,69,67,85,61,86,78
Kothur,110,113,84,85,86,99,103,134,97,93,82,102
Balasamudram,77,86,85,65,39,30,51,48,53,50,47,81
Nakkalagutta,75,87,67,52,42,52,119,98,92,98,77,83
